id,chapter,question_number,question,answer,option_A,option_B,option_C,option_D,option_E,option_F
92,Ch11,20,[Ch11] 當下列指令執行後，下列哪些敘述是正確。,B,A dynamically learned MAC address is saved in the startup-configuration file,A dynamically learned MAC address is saved in the running-configuration file,A dynamically learned MAC address is saved in the VLAN database,Statically configured MAC addresses are saved in the startup-configuration file if frames from that address are received,Statically configured MAC addresses are saved in the running-configuration file if frames from that address are received,
93,Ch11,21,[Ch11] 網路安全政策規定每一個交換器的port只能連接一台電腦，如果違反網路安全政策，該port立即被關閉，請問管理者必須使用什麼指令來達成網路安全政策?(Choose two.),"A,D",Switch1(config-if)# switchport port-security maximum 1,Switch1(config-if)# mac-address-table secure,Switch(config-if)# access-list 10 permit ip host,Switch1(config-if)# Switchport port-security violation shutdown,Switch1(config-if)# ip access-group 10,
94,Ch11,22,[Ch11] 網路管理員想要確保交換器的Fa0/1只能連接伺服器，管理者需要做什麼設定才能確保交換器的Fa0/1只能接伺服器。(Choose two.),"C,E",A. Configure port Fa0/1 to accept connections only from the static IP address of the server,B. Employ a proprietary connector type on Fa0/1 that is incompatible with other host connectors,C. Configure the MAC address of the server as a static entry associated with port Fa0/1,D. Bind the IP address of the server to its MAC address on the switch to prevent other hosts from spoofing the server IP address,E. Configure port security on Fa0/1 to reject traffic with a source MAC address other than that of the server,F. Configure an access list on the switch to deny server traffic from entering any port other than Fa0/1
95,Ch11,23,[Ch11] 根據下圖網路架構，在交換器中fa0/1模式下執行下列指令後，有一個訊框資料(frame)到達fa0/1，請問下列敘述那些是正確。,"B,D",The MAC address table will now have an additional entry of fa0/1 FFFF.FFFF.FFFF.FFFF,Only host A will be allowed to transmit frames on fa0/1,This frame will be discarded when it is received by 2950Switch,All frames arriving on 2950Switch with a destination of 0000.00aa.aaaa will forwarded out fa0/1,,
96,Ch11,24,[Ch11] 根據下列網路架構，在交換器執行Switch(config)#mac-address-table static 0000.00aa.aaaa vlan 10 interface fa0/1後，針對執行結果，下列哪些敘述是正確。(Choose two.),"B,E",Port security is implemented on the fa0/1 interface,MAC address 0000.00aa.aaaa does not need to be learned by this switch,Only MAC address 0000.00aa.aaaa will be forwarded out fa0/1 segment,Frames with a Layer 2 source address of 0000.00aa.aaaa will be forwarded out fa0/1,MAC address 0000.00aa.aaaa will be listed in the MAC address table for interface fa0/1 only,
97,Ch11,25,[Ch11] 參考下列網路架構與輸出訊息，網路管理員正在規劃交換器的fa0/1只能連接PC_A，如果其他電腦連接到該port，就將訊框資料丟棄，管理員已經設定好交換器的fa0/1的埠安全功能，如下列輸出訊息，請問還需要設定那些部份才能符合需求(Choose two.),"B,D",Port security needs to be globally enabled,Port security needs to be enabled on the interface,Port security needs to be configured to shut down the interface in the event of a violation,Port security needs to be configured to allow only one learned MAC address,Port security interface counters need to be cleared before using the show command,The port security configuration needs to be saved to NVRAM before it can become active
98,Ch11,26,[Ch11] 根據下列網路架構，網路管理員規劃要將Switch3為root bridge，請問要如何設定才能確保Switch3為root bridge?,C,Configure the IP address on Switch3 to be higher than the IP addresses of Switch1 and Switch2,Configure the priority value on Switch3 to be higher than the priority values of Switch 1 and Switch2,Configure the BID on Switch3 to be lower than the BIDs of Switch1 and Switch2,Configure the MAC address on Switch3 to be higher than the Switch1 and Switch2 MAC addresses,Configure a loopback interface on Switch3 with an IP address lower than any IP address on Switch1 and Switch2,
99,Ch11,27,[Ch11] 下列那兩個值是給Spanning Tree Protocol來選擇root bridge?(Choose two),"B,E",amount of RAM,bridge priority,IOS version,IP address,MAC address,Speed of the links
100,Ch11,28,[Ch11] 根據下列交換器網路架構，每個交換器的連線頻寬都一樣，下列哪一些連接埠會成為STP的designated ports 。(Choose three.),"B,C,D",Switch A – Fa0/0,Switch A – Fa0/1,Switch B – Fa0/0,Switch B – Fa0/1,Switch C – Fa 0/0,Switch C – Fa 0/1
101,Ch11,29,[Ch11] 根據下列交換器網路架構，針對RSTP的連接埠角色，下列哪些是正確。(Choose three.),"A,B,F","SwitchA, Fa0/2, designated","SwitchA, Fa0/1, root","SwitchB, Gi0/2, root","SwitchB, Gi0/1, designated","SwitchC, Fa0/2, root","SwitchD, Gi0/2, root"
102,Ch11,30,[Ch11] 在Rapid-PVST新增了那一個port state?,C,learning,listening,discarding,forwarding,,
103,Ch11,31,[Ch11] 下列那兩個協定是用來防止交換器迴圈的問題?,"A,D",802.1d,VTP,802.1q,STP,SAP,
104,Ch11,32,[Ch11] 下列那一個會被STP選為root bridge?,A,32768: 11-22-33-44-55-66,32768: 22-33-44-55-66-77,32769: 11-22-33-44-55-65,32769: 22-33-44-55-66-78,,
