id,question,option_A,option_B,option_C,option_D,option_E,option_F,answer,type,has_image,image_path,source_page
95,"下列為交換器S1的show int fa0/24
switchport的輸出訊息，在S1的fa0/24要設定為IEEE 802.1Q-compliant
trunk與其它交換器做連線，但是Trunk連線一直無法成功，網路線確認是
正常，根據下列輸出訊息，請問是那部份設定錯誤。",S1#show interfaces fastEthernet 0/24 switchport Name: Fa0/24 Switchport: Enabled Administrative Mode: static access Operational Mode: static access Administrative Trunking Encapsulation: dot1q Operational Trunking Encapsulation: native Negotiation of Trunking: Off Access Mode VLAN: 1 (default),Trunking Native Mode VLAN: 1 (default),Voice VLAN: none Administrative private-vlan host-association: none Administrative private-vlan mapping: none Administrative private-vlan trunk native VLAN: none Administrative private-vlan trunk encapsulation: dot1q Administrative private-vlan trunk normal VLANs: none Administrative private-vlan trunk private VLANs: none Operational private-vlan: none Trunking VLANs Enabled: ALL Pruning VLANs Enabled: 2-1001 Capture Mode Disabled Capture VLANs Allowed: ALL Protected: false Voice VLAN none(Inactive),Appliance trust: none VLANs have not been created yet An IP address must be configured for the port The port is currently configured for access mode The correct encapsulation type has not been configured The no shutdown command has not been entered for the port,,,C,single,no,,40
96,"參考下列網路架構中，兩台交換器中的Vlan10之間無法互通，另外Vlan15
之間也無法互通，只有Admin Vlan之間可以互相傳送資料，兩台交換器的
連接埠的Vlan分配都是一樣，根據下列show vlan
brief的輸出訊息中，請問有什麼問題嗎。
[pic]",The fa0/1 port is not operational on one of the switches The link connecting the switches has not been configured as a trunk,At least one port needs to be configured in VLAN 1 for VLANs 10 and 15 to be able to communicate,Port FastEthernet 0/1 needs to be configured as an access link on both switches,A router is required for hosts on SW11 in VLANs 10 and 15 to communicate with hosts in the same VLAN on Sw12,,,B,single,yes,images/page_041.png,41
97,"參考下列網路架構中，網路管理員需要增加一個新Vlan3，但是在路由器
上已經沒有多餘的網路介面可以給Vlan3使用，請問使用哪種技術可以解
決此問題。
[pic]",Purchase a new FastEthernet module and install it on R1 ReplaceR1 with a new router that has at least three FastEthernet interface,Configure a second switch to support VLAN3 with a VALN trunk between SW1 and the new switch Configure a single VLAN trunk between R1 and configure a subinterface on the R1 interface for each VLAN,Connect another router to a serial interface of R1. Use a,FastEthernet interface on the new router for VLAN3,,,D,single,yes,images/page_042.png,42
98,"參考下列網路架構中，有關於Vlan之間的繞送，下列哪些敘述是正確?(ch
oose two.)
[pic]",Host E and host F use the same IP gateway address,Router1 and Switch2 should be connected via a crossover cable,Router1 will not play a role in communications between host A and host D,The FastEthernt 0/0 interface on Router1 must be configured with subinterfaces,Router1 needs more LAN interfaces to accommodate the VLANs that are shown in the exhibit,The FastEthernet 0/0 interface on Router1 and Switch2 trunk ports must be configured using the same encapsulation type,"D,F",multiple,yes,images/page_043.png,43
99,"參考下圖網路架構中，網路管理員要在交換器S1上增加主機A與B，針對這
兩台的相關IP位址設定，下列何者正確?(Choose three)
[pic]",host A ip address: 192.168.1.79,host A IP address: 192.168.1.64,host A default gateway: 192.168.1.78,host B IP address: 192.168.1.128,host B default gateway: 192.168.1.129,host B IP address: 192.168.1.190,"A,C,F",multiple,yes,images/page_044.png,44
100,"根據下圖網路架構與部分訊息，目前該網路有不通的情況，請問是下列哪
些問題?(Choose two.)
[pic]",Configure the gateway on Host A as 10.1.1.1,Configure the gateway on Host B as 10.1.2.254,Configure the IP address of Host A as 10.1.2.2,Configure the IP address of Host B as 10.1.2.2,Configure the masks on both hosts to be 255.255.255.224,Configure the masks on both hosts to be 255.255.255.240,"B,D",multiple,yes,images/page_045.png,45
101,"參考下列網路架構，路由器R1已經設定提供Vlan之間的路由功能，針對交
換器的fa0/1連線到路由器，必須使用下列那些IOS指令來設定IEEE標準的
協定?(Choose three.)
[pic]",Switch(config)#interface fastethernet 0/1,Switch(config-if)#switchport mode access,Switch(config-if)#switchport mode trunk,Switch(config-if)#switchport access vlan 1,Switch(config-if)#switchport trunk encapsulation isl,Switch(config-if)#switchport trunk encapsulation dot1q,"A,C,F",multiple,yes,images/page_045.png,45
102,"根據下圖網路架構與主機數目需求，所有主機都必須互相聯通，關於IP位
址下列那些是正確?(choose three.)
[pic]",The subnet mask in Vlan 1 is 255.255.255.192,The subnet mask in Vlan2 is 255.255.255.128,The IP address 172.16.1.25 can be assigned to hosts in VLAN1,The IP address 172.16.1.205 can be assigned to hosts in VLAN1,The LAN interface of the router is configured with one IP address,The LAN interface of the router is configured with multiple IP addresses,"B,C,F",multiple,yes,images/page_046.png,46
103,"根據下列網路架構與部分訊息，如果要讓所有電腦裝置都能互通，在交換
器的fa0/1需要什麼設定?
[pic]",The ports only need to be connected by a crossover cable SwitchX(config)#interface fastethernet0/1 SwitchX(config-if)#switchport mode trunk SwitchX(config)#interface fastethernet 0/1 SwitchX(config-if)#switchport mode access SwitchX(config-if)#switchport access vlan 1 SwitchX(config)#interface fastethernet 0/1 SwitchX(config-if)#switchport mode trunk,SwitchX(config-if)#switchport trunk vlan 1,SwitchX(config-if)#switchport trunk vlan 10,SwitchX(config-if)#switchport trunk vlan 20,,,B,single,yes,images/page_047.png,47
104,"根據上圖的四個ACL敘述啟動在E0介面的IN方向，請問要什麼樣的順序才
能讓172.21.1.128/28網路中的第一個與最後一個主機IP的流量通過，其
它172.21.1.128/28全部阻擋。",ACDB,BADC,DBAC,CDBA,,,D,single,no,,48
105,下列哪一個選項針對ACL啟動在網路介面的描述是正確。,You can place as many access lists as you want on any interface.,You can apply only one access list on any interface.,"You can configure one access list, per direction, per Layer 3",protocol.,You can apply multiple access lists with the same protocol or in,different directions.,C,single,no,,48
106,下列哪一個選項是標準ACL判斷的根據。,Destination address and wildcard mask,Destination address and subnet mask,Source address and subnet mask,Source address and wildcard mask,,,D,single,no,,48
107,如何保護路由器的virtual terminal interface。,Administratively shut down the interface.,Physically secure the interface.,Create an access list and apply it to the virtual terminal interfaces with the access-group command.,Configure a vitual terminal password and login process.,Enter an access list anf apply it to the virtual terminal interfaces using the access-class command.,,"D,E",multiple,no,,49
108,根據上圖資訊，如何將ACL102從網路介面移除。,No ip access-class 102 in,No ip access-class 102 out,No ip access-group 102 in,No ip access-group 102 out,No ip access list 102 in,,D,single,no,,49
109,"網路管理者要設計ACL只允許192.168.146.0、192.168.147.0、192.168.1
48.0及192.168.149.0四個網路的流量通過，下列哪兩個ACL的組合可以達
到此需求。",Access-list 10 premit ip 192.168.146.0. 0.0.1.255,Access-list 10 premit ip 192.168.147.0 0.0.255.255,Access-list 10 premit ip 192.168.148.0 0.0.1.255,Access-list 10 premit ip 192.168.149.0 0.0.255.255,Access-list 10 permit ip 192.168.146.0 0.0.0.255,Access-list 10 premit ip 192.168.146.0 255.255.255.0,"A,C",multiple,no,,49
110,下列哪一個選項是標準的ACL語法。,Access-list 110 premit ip any any,Access-list 50 deny 192.168.1.1 0.0.0.255,Access list 101 deny tcp any host 192.168.1.1,Access-list 2500 deny tcp any host 192.168.1.1 eq 22,,,B,single,no,,50
111,下列那一個指定可以顯示ACL設定於介面上?,show ip interface[interface] access-lists,show ip access-lists interface[interface],show ip interface[interface],show ip access-lists[interface],,,C,single,no,,50
112,"用什麼方式可以達到安全的virtual terminal
interfaces連線到路由器?(Choose two.)",Administrabvely shut down the interface,Physical secure the interface,Create an access list and apply to the terminal interface with the access-group command,configure a virtual terminal password,Enter an access list and apply it to the virtual terminal,interlaces using the access-class command,"D,E",multiple,no,,50
113,"一個inbound的ACL已經被設定於序列不中來拒絕封包屬於TCP and UDP
ports 21,23 and 25，請問下列那些封包可以通過該ACL (Choose",three.),FTP Telnet,SMTP,DNS,HTTP,POP3,"D,E,F",multiple,no,,50
114,"根據下列show
access-list輸出資訊，當有一個來自網際網路的HTTP封包要送往目的172
.16.12.10時，該ACL會如何處理?",router#show access-list Extended IP access list 110 10 deny tcp 172.16.0.0 0.0.255.255 any eq telnet 20 deny tcp 172.16.0.0 0.0.255.255 any eq smtp 30 deny tcp 172.16.0.0 0.0.255.255 any eq http 40 permit tcp 172.16.0.0 0.0.255.255 any Traffic will be dropped per line 30 of the ACL,Traffic will be accepted per line 40 of the ACL,"Traffic will be dropped, because of the implicit deny all at the end of the ACL","Traffic will be accepted, because the source address is not covered by the ACL",,,C,single,no,,51
115,當路由器設定inbound ACL，甚麼時候inbound ACL會處理收到的封包?,Before they are routed to an outbound interface,After they are routed to an outbound interface,Before and after they are routed to an outbound interface,After they are routed to an outbound interface but before being,placed in the outbound queue,,A,single,no,,51
116,"網路管理員在路由器RA中設定如下時，主要是甚麼目的?
RA(config)#access-list 2 permit 10.1.1.0 0.0.0.255
RA(config)#line vty 0 4
RA(config)#access-class 2 in
[pic]",To give students access to the Internet,To prevent students from accessing the command prompt RA,To prevent administrators from accessing the console of RA,To give administrators access to the Internet,To prevent students from accessing the Internet,To prevent students from accessing the Admin network,B,single,yes,images/page_052.png,52
117,"在172.16.5.118/26網路中的所有電腦不能使用telnet連到LAN外面，下列
哪一個ACL指令可以達到此需求。",access-list 128 deny tcp 172.16.5.64 0.0.0.63 any eq 23,access-list 128 deny tcp 172.16.5.128 0.0.0.63 any eq 22,access-list 10 deny tcp 172.16.5.64 0.0.0.63 any eq 23,access-list 128 deny tcp host 171.16.5.118 any eq 23,,,A,single,no,,52
118,"當網路管理員已經設計一個ACL標號為100，請問要用那一個指令讓該ACL
在介面上執行?",apply access-list 101 out,ip access-group 101 out,access-class 101 out,permit access-list 101 out,,,B,single,no,,52
119,"網路管理服務NTP、Syslog、Netflow與SNMP
下列哪一個指令可以設定時間戳記到debug訊息，時間戳記為millisecond",s。,Service timestamps log detetime localtime,Service timestamps debug datetime msec,Service timestamps debug datetime localtime,Service timestamps log datetime msec,,B,single,no,,53
120,使用Netflow的優點有哪三個選項。,"Network, Application & User Monitoring",Network Planning,Security Analysis,Accounting/Billing,,,"A,C,D",multiple,no,,53
121,"當管理者輸入logging trap 3
時，下列哪三種等級的IOS訊息會被記錄到Syslog server。",Informational,Emergency,Warning,Critical,Debug,Error,"B,D,F",multiple,no,,53
122,在安裝Netflow軟體之前，有哪三個因素要考慮。,CPU utilization,Where Netflow data will be sent,Number of devices exporting Netflow data,Port availability,SNMP version,WAN encapsulation,"A,B,C",multiple,no,,53
123,下列哪三個選項是描述SNMPv2與SNMPv3是正確。,SNMPv3 enhanced SNMPv2 security features.,SNMPv3 added the Inform protocol message to SNMP.,SNMPv2 added the Inform protocol message to SNMP.,SNMPv3 added the GetBulk protocol messages to SNMP.,SNMPv2 added the GetBulk protocol messages to SNMP.,SNMPv2 added the GetNext protocol messages to SNMP.,"A,C,E",multiple,no,,54
124,下列哪三個選項描述Syslog是正確。,Utilizing Syslog Improves network performance.,The Syslog server automatically notifies the network administrator of network problems.,A syslog server provides the storage space necessary to store log files without using router disk space.,There are more Syslog messages available within Cisco IOS than there are comparable SNMP trap messages.,Enabling Syslog on a router automatically enables NTP accurate time stamping.,A syslog server helps in aggregation of logs and alerts.,"C,D,F",multiple,no,,54
125,Syslog訊息主要儲存在下列哪三個地方。,Buffer,Console terminal,Flash,Syslog server,,,"A,B,D",multiple,no,,54
126,請列出三個SNMP的元件,MIB,NMS (Manager),Agent,SET,,,"A,B,C",multiple,no,,54
127,下列哪三個功能是加入到SNMPv3。,Message Integrity,Authentication,Compression,Encryption,,,"A,B,D",multiple,no,,55
128,下列哪三個值會被Netflow認定為同一個flow。,IP address,Interface name,Port numbers,L3 protocol type,,,"A,C,D",multiple,no,,55
129,下列哪三個值會被Netflow認定為同一個flow。,Source IP address,Source MAC address,Egress interface,Ingress interface,Destination IP address,IP next-hop,"A,D,E",multiple,no,,55
130,下列哪一個指令可以顯示路由器統計的netflow 資料。,Show ip flow export,Show ip flow top-talkers,Show ip cache flow,Show mls sampling,Show mls netflow ip,,C,single,no,,55
131,由SNMP Agent產生的訊息稱為什麼。,GET,INFORM,TRAP,SET,,,C,single,no,,55
132,DHCP 伺服器如何動態分配IP組態給主機。,Addresses are permanently assigned so that host uses the same address at all times.,"Addresses are assigned for a fixed period of time. At the end of the period, a new request for an address must be made, and another address is then assigned.",Addresses are leased to hosts. A host will usually keep the same address by periodically contacting the DHCP server to renew the lease.,Addresses are allocated after a negotiation between the server and the host to determine the length of the agreement.,,,C,single,no,,56
133,下列哪三個原因是需要收集公司的Netflow 資料。,To identify application causing congestion.,To authorize user network access.,To report and alert link up / down instances.,"To diagnose slow network performance, bandwidth hogs, and bandwidth utilization.",To detect suboptimal routing in the network.,To confirm the appropriate amout of bandwidth that has been allocated to each Class of Server.,"A,D,F",multiple,no,,56
134,下列哪一個協定會導致被管理設備的CPU負載。,SNMP,Netflow,WCCP,IP SLA,,,B,single,no,,56
